7443,1384,22,9,-54
7444,1381,22,9,-59
7445,1382,22,7,-66
7446,1388,22,6,-69
7447,1392,21,6,-73
7448,1393,20,4,-76
7449,1389,20,4,-79
7450,1381,19,2,-81
7451,1372,19,2,-82
7452,1363,18,1,-86
7453,1354,17,1,-86
7454,1353,15,1,-87
7455,1355,15,1,-89
7456,1360,14,1,-90
7457,1370,13,1,-94
7458,1373,12,1,-102
7459,1373,12,1,-107
7460,1376,14,1,-114
7461,1382,14,1,-120
7462,1367,14,-1,-121
7463,1349,11,-6,-122
7464,1335,8,-8,-120
7465,1332,8,-7,-118
7466,1348,6,-2,-119
7467,1359,5,-1,-119
7468,1367,5,2,-119
7469,1350,5,0,-118
7470,1328,9,-3,-118
7471,1331,18,-9,-117
7472,1348,29,-13,-117
7473,1349,42,-17,-117
7474,1346,47,-15,-117
7475,1347,46,-11,-117
7476,1349,42,1,-118
7477,1412,30,48,-140
7478,1426,27,60,-146
7479,1435,25,70,-153
7480,1412,22,80,-165
7481,1354,29,77,-175
7482,1344,33,76,-172
7483,1316,34,73,-159
7484,1254,26,63,-137
7485,1223,12,46,-114
7486,1309,0,42,-105
7487,1378,-12,46,-98
7488,1359,-24,50,-100
7489,1326,-34,51,-103
7490,1356,-41,47,-110
7491,1422,-41,37,-116
7492,1391,-30,28,-119
7493,1306,-16,27,-120
7494,1297,0,29,-117
7495,1342,12,33,-111
7496,1341,25,34,-107
7497,1303,38,32,-103
7498,1319,42,31,-102
7499,1344,43,30,-102
7500,1367,41,28,-100
7501,1333,35,22,-100
7502,1330,32,21,-100
7503,1333,26,18,-97
7504,1325,14,12,-89
7505,1312,12,12,-85
7506,1290,9,12,-78
7507,1292,4,13,-71
7508,1312,-2,16,-59
7509,1318,-4,18,-54
7510,1320,-4,19,-51
7511,1327,-3,18,-51
7512,1341,-3,17,-52
7513,1369,-4,16,-55
7514,1387,0,14,-62
7515,1375,0,12,-71
7516,1373,0,11,-75
7517,1377,0,10,-78
7518,1365,0,9,-82
7519,1359,-3,7,-85
7520,1364,-4,7,-88
7521,1370,-7,5,-90
7522,1370,-7,4,-94
7523,1363,-7,4,-96
7524,1364,-6,1,-101
7525,1366,-6,0,-103
7526,1365,-6,0,-104
7527,1352,-4,0,-105
7528,1341,-1,0,-106
7529,1348,0,-1,-106
7530,1364,0,-1,-108
7531,1366,4,-1,-111
7532,1361,6,0,-113
7533,1353,7,0,-115
7534,1361,6,-1,-120
7535,1379,0,-3,-125
7536,1375,-7,-3,-128
7537,1363,-15,-5,-132
7538,1361,-20,-7,-134
