0,0.038754,-1.0787,-0.29409,-7.251,7.3367
0.0078125,0.033105,-1.2194,-0.39444,-7.79,7.8947
0.015625,0.025332,-1.3172,-0.4901,-8.3098,8.4279
0.023438,0.019576,-1.3916,-0.58347,-8.7026,8.8325
0.03125,0.016142,-1.4954,-0.68525,-8.9047,9.0554
0.039062,0.0089169,-1.6467,-0.80427,-8.9792,9.1643
0.046875,-0.00068009,-1.8265,-0.94301,-8.9911,9.223
0.054688,-0.0023139,-2.014,-1.1044,-8.9812,9.2702
0.0625,0.0077892,-2.1711,-1.2812,-9.1025,9.4451
0.070312,0.02127,-2.2811,-1.4445,-9.4872,9.8639
0.078125,0.026007,-2.4358,-1.5746,-9.9091,10.325
0.085938,0.016054,-2.6454,-1.6815,-9.9934,10.474
0.09375,1.8277e-05,-2.5625,-1.7675,-9.8812,10.36
0.10156,-0.0041832,-1.8734,-1.8138,-10.141,10.471
0.10938,0.0075998,-0.98216,-1.8263,-10.87,11.066
0.11719,0.019175,-0.67595,-1.8351,-11.525,11.69
0.125,0.019195,-1.1203,-1.8406,-11.774,11.969
0.13281,0.016137,-1.8233,-1.8101,-11.847,12.123
0.14062,0.020505,-2.4396,-1.723,-11.976,12.343
0.14844,0.028211,-2.9873,-1.5824,-12.082,12.546
0.15625,0.028164,-3.4808,-1.3913,-12.082,12.65
0.16406,0.016475,-3.8615,-1.1386,-12.053,12.708
0.17188,-0.00042897,-4.147,-0.8096,-12.106,12.822
0.17969,-0.011838,-4.3698,-0.39433,-12.284,13.044
0.1875,-0.0099613,-4.5001,0.11196,-12.534,13.318
0.19531,0.0063921,-4.5238,0.68632,-12.721,13.519
0.20312,0.031748,-4.43,1.2624,-12.88,13.679
0.21094,0.055825,-4.1087,1.7663,-13.427,14.152
0.21875,0.067799,-3.4827,2.1415,-14.683,15.242
0.22656,0.060891,-2.7823,2.3406,-16.201,16.604
0.23438,0.033622,-2.4614,2.4209,-17.109,17.454
0.24219,-0.0064564,-2.7133,2.6462,-17.139,17.553
0.25,-0.039065,-3.1826,3.2206,-16.693,17.296
0.25781,-0.049889,-3.2681,3.86,-15.981,16.763
0.26562,-0.056685,-2.6734,4.0051,-14.802,15.565
0.27344,-0.085256,-1.5972,3.5521,-13.126,13.692
0.28125,-0.11628,-0.45157,2.9606,-11.332,11.721
0.28906,-0.10274,0.47367,2.6033,-9.8166,10.167
0.29688,-0.046359,1.0808,2.4468,-8.7633,9.1625
0.30469,-0.0019813,1.3702,2.3675,-8.2204,8.6635
0.3125,0.0035445,1.3784,2.3564,-8.1599,8.6045
0.32031,0.0027568,1.1658,2.3831,-8.4802,8.8854
0.32812,0.023917,0.78259,2.3337,-9.0553,9.3839
0.33594,0.045956,0.21554,2.1089,-9.7725,9.9998
0.34375,0.041,-0.57303,1.6983,-10.516,10.668
0.35156,0.023154,-1.4792,1.2049,-11.148,11.31
0.35938,0.022021,-2.2168,0.7988,-11.562,11.8
0.36719,0.031973,-2.5867,0.57535,-11.772,12.067
